armSkuName,skuId,meterName,productName,location,armRegionName,retailPrice,unitOfMeasure,serviceName,serviceId,serviceFamily,currencyCode,tierMinimumUnits,unitPrice,effectiveStartDate,meterId,productId,skuName,type,isPrimaryMeterRegion
14 vCore,DZH318Z0CGTV/018C,vCore,SQL Database Single/Elastic Pool General Purpose - Compute FSv2 Series,DE North,germanynorth,2.674272,1 Hour,SQL Database,DZH3180HX10K,Databases,USD,0,2.674272,2020-07-23T00:00:00Z,c0dd8821-bc63-4533-8ce8-27744851aebf,DZH318Z0CGTV,14 vCore,Consumption,false
Standard_B2pls_v2,DZH318Z0K9JL/0187,B2pls v2 Spot,Virtual Machines Bpsv2 Series Windows,US West,westus,0.0123,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.0123,2023-09-01T00:00:00Z,000322d3-224b-56e2-85b5-9cf54e4836d0,DZH318Z0K9JL,B2pls v2 Spot,Consumption,true
Standard_B2pls_v2,DZH318Z0K9JL/0187,B2pls v2 Spot,Virtual Machines Bpsv2 Series Windows,US West,westus,0.01,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.01,2023-09-01T00:00:00Z,000322d3-224b-56e2-85b5-9cf54e4836d0,DZH318Z0K9JL,B2pls v2 Spot,DevTestConsumption,true
,DZH318Z0BQLB/00BP,Voice Calls Voice Call Country Code 43,Azure Monitor,AP East,eastasia,0,1,Azure Monitor,DZH315BMCLC8,Management and Governance,USD,0,0,2023-06-01T00:00:00Z,c5e81a9c-c265-490e-8cb2-1c47520931a1,DZH318Z0BQLB,Voice Calls,Consumption,false
,DZH318Z0BQLB/00BP,Voice Calls Voice Call Country Code 43,Azure Monitor,AP East,eastasia,0.28,1,Azure Monitor,DZH315BMCLC8,Management and Governance,USD,10,0.28,2023-06-01T00:00:00Z,c5e81a9c-c265-490e-8cb2-1c47520931a1,DZH318Z0BQLB,Voice Calls,Consumption,false
Standard_B4ls_v2,DZH318Z0K9K9/01QT,B4ls v2 Spot,Virtual Machines Bsv2 Series,US Central,centralus,0.04175,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.04175,2023-09-01T00:00:00Z,000342a6-ca59-576d-bbe4-3014c80b0346,DZH318Z0K9K9,B4ls v2 Spot,Consumption,true
Standard_L80as_v3,DZH318Z08NR8/0104,L80as v3 Spot,Lasv3 Series Windows,BR Southeast,brazilsoutheast,1.6628,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.6628,2023-10-01T00:00:00Z,00035cb1-494e-5f00-a8fa-81617c2eb929,DZH318Z08NR8,Standard_L80as_v3 Spot,Consumption,true
Standard_L80as_v3,DZH318Z08NR8/0104,L80as v3 Spot,Lasv3 Series Windows,BR Southeast,brazilsoutheast,1.2948,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.2948,2023-09-01T00:00:00Z,00035cb1-494e-5f00-a8fa-81617c2eb929,DZH318Z08NR8,Standard_L80as_v3 Spot,DevTestConsumption,true
Standard_E64ds_v5,DZH318Z0KDX1/00D6,vCore,Azure Database for PostgreSQL Flexible Server Memory Optimized Edsv5 Series Compute,CH North,switzerlandnorth,11.584,1 Hour,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,USD,0,11.584,2023-03-01T00:00:00Z,0003c425-b1df-551f-a855-9c95a08cb4ae,DZH318Z0KDX1,64 vCore,Consumption,true
Standard_D2_v4,DZH318Z0D1L4/01TB,D2 v4 Low Priority,Virtual Machines Dv4 Series,IN West,westindia,0.0236,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.0236,2021-02-01T00:00:00Z,000419bc-6006-53ea-8976-1644249b9728,DZH318Z0D1L4,D2 v4 Low Priority,Consumption,true
,DZH318Z0BQLB/08PX,Free Benefit - M365 Defender Data Ingestion,Azure Monitor,ZA West,southafricawest,0,1 GB,Azure Monitor,DZH315BMCLC8,Management and Governance,USD,0,0,2021-09-01T00:00:00Z,000443cb-0bca-5d0a-aa12-4d106dead992,DZH318Z0BQLB,Free Benefit - M365 Defender,Consumption,true
Standard_E2s_v5,DZH318Z096SR/02KN,E2s v5 Spot,Virtual Machines Esv5 Series,EU North,northeurope,0.0141,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.0141,2023-11-01T00:00:00Z,00045dc9-530b-5c69-94ff-1a8cb5475849,DZH318Z096SR,E2s v5 Spot,Consumption,true
,DZH318Z0B0NC/004Q,Standard vCPU Active Usage,Azure Container Apps,AU Central,australiacentral,0.000034,1 Second,Azure Container Apps,DZH319F70F09,Compute,USD,0,0.000034,2023-09-01T00:00:00Z,00046018-8103-5deb-b26d-7a965fb51ce5,DZH318Z0B0NC,Standard,Consumption,true
,DZH318Z0BZ1B/011R,100 DWUs,Azure Synapse Analytics Dedicated SQL Pool,DE West Central,germanywestcentral,113.25,1/Hour,Azure Synapse Analytics,DZH3194T4H8H,Analytics,USD,0,113.25,2019-09-01T00:00:00Z,b3266c8b-ebd0-428c-9dd5-cd4d24c198b1,DZH318Z0BZ1B,DW7500c,Consumption,false
,DZH318Z0BQD2/004M,Premium Data Analyzed,Log Analytics,AE North,uaenorth,4.62,1 GB,Log Analytics,DZH3140GXVMF,Management and Governance,USD,0,4.62,2019-01-07T00:00:00Z,0004d849-f36c-4895-9806-d011aa73ba2f,DZH318Z0BQD2,Premium,Consumption,true
,DZH318Z0BNZJ/005Z,Cool Data Retrieval,Blob Storage,US East,eastus,0.01,1 GB,Storage,DZH317F1HKN0,Storage,USD,0,0.01,2016-11-01T00:00:00Z,7fee4018-c73d-4765-9c46-98b2b9b57b16,DZH318Z0BNZJ,Cool RA-GRS,Consumption,false
,DZH318Z0BQLB/009P,Voice Calls Voice Call Country Code 234,Azure Monitor,EU North,northeurope,0,1,Azure Monitor,DZH315BMCLC8,Management and Governance,USD,0,0,2023-06-01T00:00:00Z,bbb42bba-f17d-5e7f-808b-e18e365577ed,DZH318Z0BQLB,Voice Calls,Consumption,false
,DZH318Z0BQLB/009P,Voice Calls Voice Call Country Code 234,Azure Monitor,EU North,northeurope,0.125,1,Azure Monitor,DZH315BMCLC8,Management and Governance,USD,10,0.125,2023-06-01T00:00:00Z,bbb42bba-f17d-5e7f-808b-e18e365577ed,DZH318Z0BQLB,Voice Calls,Consumption,false
Standard_E20a_v4,DZH318Z0CM29/026M,E20a v4/E20as v4 Low Priority,Virtual Machines Eav4 Series,SE South,swedensouth,0.348,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.348,2022-11-01T00:00:00Z,00055bd0-12e3-51f0-aba3-e4da5d5948ca,DZH318Z0CM29,E20a v4 Low Priority,Consumption,true
Standard_D16ads_v5,DZH318Z0KF1X/002C,vCore,Azure Database for PostgreSQL Flexible Server General Purpose Dadsv5 Series Compute,EU North,northeurope,1.584,1 Hour,Azure Database for PostgreSQL,DZH3199QPQTD,Databases,USD,0,1.584,2023-03-01T00:00:00Z,0005750b-fa8e-5e0f-9df4-406513723b4b,DZH318Z0KF1X,16 vCore,Consumption,true
,DZH318Z0BJRN/0013,Cool GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Flat Namespace,AP East,eastasia,0.1,10K,Storage,DZH317F1HKN0,Storage,USD,0,0.1,2019-04-01T00:00:00Z,9806198f-b65b-4e0a-bb4c-45a8cd44083d,DZH318Z0BJRN,Cool RA-GRS,Consumption,false
Azure Cosmos DB Materialized Views Builder D4s,DZH318Z0DX1T/00B4,MV Builder D4s vCore,Azure Cosmos DB Materialized Views,NO West,norwaywest,0.6628,1 Hour,Azure Cosmos DB,DZH317DL9CC7,Databases,USD,0,0.6628,2023-08-01T00:00:00Z,000586ee-0ba2-59ba-b9d7-01949ce5f9d0,DZH318Z0DX1T,MV Builder D4s,Consumption,true
Standard_E64-32as_v4,DZH318Z0CM92/02F7,E64-32as_v4 Low Priority,Virtual Machines Easv4 Series Windows,SE South,swedensouth,3.407,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,3.407,2022-12-01T00:00:00Z,0005954c-99f5-5b9b-9ca1-37fc4974a3c8,DZH318Z0CM92,E64-32as_v4 Low Priority,Consumption,true
Standard_E64-32as_v4,DZH318Z0CM92/02F7,E64-32as_v4 Low Priority,Virtual Machines Easv4 Series Windows,SE South,swedensouth,1.115,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.115,2022-12-01T00:00:00Z,0005954c-99f5-5b9b-9ca1-37fc4974a3c8,DZH318Z0CM92,E64-32as_v4 Low Priority,DevTestConsumption,true
Standard_E64-16s_v3,DZH318Z0BQ4R/02L6,E64-16s v3,Virtual Machines ESv3 Series,US Gov AZ,usgovarizona,4.347,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,4.347,2019-01-01T00:00:00Z,dc4a55b5-2273-4144-9723-68e3060a59cb,DZH318Z0BQ4R,E64-16s v3,Consumption,false
Standard_E64-16s_v3,DZH318Z0BQ4R/02L4,E64-16s v3,Virtual Machines ESv3 Series,US Gov AZ,usgovarizona,26307,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,26307,2018-09-01T00:00:00Z,dc4a55b5-2273-4144-9723-68e3060a59cb,DZH318Z0BQ4R,E64-16s v3,Reservation,false
Standard_E64-16s_v3,DZH318Z0BQ4R/02KZ,E64-16s v3,Virtual Machines ESv3 Series,US Gov AZ,usgovarizona,50466,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,50466,2018-09-01T00:00:00Z,dc4a55b5-2273-4144-9723-68e3060a59cb,DZH318Z0BQ4R,E64-16s v3,Reservation,false
Standard_D4ads_v5,DZH318Z08W2Q/0044,D4ads v5 Low Priority,Dadsv5 Series Cloud Services,US East 2,eastus2,0.156,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.156,2023-10-01T00:00:00Z,00062872-0b43-592a-92ca-3ab13f1a01c4,DZH318Z08W2Q,Standard_D4ads_v5 Low Priority,Consumption,true
Standard_E16pds_v5,DZH318Z092SH/00PR,E16pds v5 Low Priority,Virtual Machines Epdsv5 Series,EU North,northeurope,0.205,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.205,2022-09-01T00:00:00Z,0006484d-83b5-5b4d-b268-4981ad7ed143,DZH318Z092SH,Standard_E16pds_v5 Low Priority,Consumption,true
Standard_D1,DZH318Z0BPVW/013G,D1/DS1,Virtual Machines D Series Windows,UK South,uksouth,0.142,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.142,2023-12-01T00:00:00Z,00068f75-5733-5c2f-bb0e-af49ee10970c,DZH318Z0BPVW,D1,Consumption,true
Standard_D1,DZH318Z0BPVW/013G,D1/DS1,Virtual Machines D Series Windows,UK South,uksouth,0.0962,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.0962,2023-12-01T00:00:00Z,00068f75-5733-5c2f-bb0e-af49ee10970c,DZH318Z0BPVW,D1,DevTestConsumption,true
Standard_D16ls_v5,DZH318Z08M9L/00KS,D16ls v5 Spot,Virtual Machines Dlsv5 Series,KR Central,koreacentral,0.192,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.192,2023-09-01T00:00:00Z,0007077d-1214-51d5-a241-eeced2862196,DZH318Z08M9L,D16ls v5 Spot,Consumption,true
Cold,DZH318Z0BJRN/01QW,Cold RA-GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Flat Namespace,EU West,westeurope,0.125,10K,Storage,DZH317F1HKN0,Storage,USD,0,0.125,2023-05-01T00:00:00Z,000714f3-c2e9-57f3-8d2e-2761b30afb3b,DZH318Z0BJRN,Cold RA-GRS,Consumption,true
,DZH318Z0BPH7/015K,Hot GRS Write Operations,General Block Blob v2,CH West,switzerlandwest,0.153526,10K,Storage,DZH317F1HKN0,Storage,USD,0,0.153526,2021-10-01T00:00:00Z,e1948c9b-6847-432b-b236-b36d1c3773e3,DZH318Z0BPH7,Hot RA-GRS,Consumption,false
Standard_E32-16s_v5,DZH318Z096T1/0531,E32-16s v5,Virtual Machines Esv5 Series Windows,KR Central,koreacentral,3.904,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,3.904,2021-11-01T00:00:00Z,cafe182f-5c9c-5463-9511-d3975c95119d,DZH318Z096T1,E32-16s v5,Consumption,false
Standard_E32-16s_v5,DZH318Z096T1/0531,E32-16s v5,Virtual Machines Esv5 Series Windows,KR Central,koreacentral,2.432,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,2.432,2021-11-01T00:00:00Z,cafe182f-5c9c-5463-9511-d3975c95119d,DZH318Z096T1,E32-16s v5,DevTestConsumption,false
Standard_D16s_v5,DZH318Z08M9T/00MZ,D16s v5,Virtual Machines Dsv5 Series Windows,US East 2,eastus2,1.504,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.504,2021-12-01T00:00:00Z,0007942f-35ac-5c71-9845-63365457677b,DZH318Z08M9T,Standard_D16s_v5,Consumption,true
Standard_D16s_v5,DZH318Z08M9T/00MZ,D16s v5,Virtual Machines Dsv5 Series Windows,US East 2,eastus2,0.768,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.768,2021-12-01T00:00:00Z,0007942f-35ac-5c71-9845-63365457677b,DZH318Z08M9T,Standard_D16s_v5,DevTestConsumption,true
Standard_E16-8ads_v5,DZH318Z093WX/02JL,E16-8ads v5 Spot,Virtual Machines Eadsv5 Series Windows,AU Southeast,australiasoutheast,0.2098,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.2098,2023-09-01T00:00:00Z,00081217-b2ba-5564-b978-05466d34bb98,DZH318Z093WX,E16-8ads v5 Spot,Consumption,true
Standard_E16-8ads_v5,DZH318Z093WX/02JL,E16-8ads v5 Spot,Virtual Machines Eadsv5 Series Windows,AU Southeast,australiasoutheast,0.1362,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.1362,2022-09-01T00:00:00Z,00081217-b2ba-5564-b978-05466d34bb98,DZH318Z093WX,E16-8ads v5 Spot,DevTestConsumption,true
Standard_L48s_v3,DZH318Z08NRP/001B,L48s v3,Virtual Machines Lsv3 Series Windows,EU West,westeurope,7.2,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,7.2,2022-06-01T00:00:00Z,0008192f-190b-5119-87b8-96130c21ecfe,DZH318Z08NRP,Standard_L48s_v3,Consumption,true
Standard_L48s_v3,DZH318Z08NRP/001B,L48s v3,Virtual Machines Lsv3 Series Windows,EU West,westeurope,4.992,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,4.992,2022-06-01T00:00:00Z,0008192f-190b-5119-87b8-96130c21ecfe,DZH318Z08NRP,Standard_L48s_v3,DevTestConsumption,true
Standard_B16ps_v2,DZH318Z0K9JM/0009,B16ps v2 Low Priority,Bpsv2 Series Cloud Services,SE Central,swedencentral,0.25,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.25,2023-09-01T00:00:00Z,00086012-377d-512d-8302-e024ed69a229,DZH318Z0K9JM,B16ps v2 Low Priority,Consumption,true
Standard_D14_v2_Promo,DZH318Z0BPSP/001D,D14 v2/DS14 v2 - Expired,Virtual Machines Dv2 promo Series,US North Central,northcentralus,1.482,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.482,2018-09-01T00:00:00Z,0008a792-d49f-4f13-a461-9c9f24e92ccf,DZH318Z0BPSP,D14 v2,Consumption,true
Cold,DZH318Z0BPH7/02QN,Cold GRS List and Create Container Operations,General Block Blob v2,AP East,eastasia,0.143,10K,Storage,DZH317F1HKN0,Storage,USD,0,0.143,2023-05-01T00:00:00Z,0008a7be-965c-5bea-a90d-283642f2cb87,DZH318Z0BPH7,Cold GRS,Consumption,true
Cold,DZH318Z0C120/02D5,Cold RA-GRS Data Write,General Block Blob v2 Hierarchical Namespace,ZA West,southafricawest,0,1 GB,Storage,DZH317F1HKN0,Storage,USD,0,0,2023-05-01T00:00:00Z,0008a8a3-71db-5bdf-9eda-d7ffc8ebb9b0,DZH318Z0C120,Cold RA-GRS,Consumption,true
Basic_A2,DZH318Z0BPRB/0004,A2,Virtual Machines A Series Basic,BR South,brazilsouth,0.112,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.112,2016-09-01T00:00:00Z,0008ac09-705a-431e-b9c7-026746cb920a,DZH318Z0BPRB,A2,Consumption,true
CN,DZH318Z0D8Z1/03X3,CN Leased Number,Toll Free Numbers - I,CA Central,canadacentral,54,1/Month,Phone Numbers,DZH3149MGPWW,Azure Communication Services,USD,0,54,2023-06-01T00:00:00Z,92e052e4-c53d-5f53-8201-3b0309d3ca2e,DZH318Z0D8Z1,CN,Consumption,false
Standard_E48as_v4,DZH318Z0CM2D/03VV,E48as v4 Spot,Virtual Machines Easv4 Series,ZA North,southafricanorth,0.4032,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.4032,2023-03-01T00:00:00Z,0008fa05-a215-5ec8-9583-a398f27ed10a,DZH318Z0CM2D,E48as v4 Spot,Consumption,true
Standard_E32as_v5,DZH318Z092QW/007H,E32as v5 Low Priority,Easv5 Series CloudServices,US South Central,southcentralus,0.886,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.886,2023-10-01T00:00:00Z,0008fc59-f088-5d25-8e72-147ec2e66261,DZH318Z092QW,E32as v5 Low Priority,Consumption,true
Cold,DZH318Z0C120/027H,Cold GRS Delete Operations,General Block Blob v2 Hierarchical Namespace,US East,eastus,0,10K,Storage,DZH317F1HKN0,Storage,USD,0,0,2023-05-01T00:00:00Z,00090246-3429-5e40-a559-bbb613b3ce9b,DZH318Z0C120,Cold GRS,Consumption,true
18 vCore,DZH318Z08M0D/01PC,vCore,SQL Database Single/Elastic Pool Hyperscale - Compute DC-Series,UK South,uksouth,8.217,1 Hour,SQL Database,DZH3180HX10K,Databases,USD,0,8.217,2023-10-01T00:00:00Z,00090f17-67da-5c4b-8c0b-6910ebf25574,DZH318Z08M0D,18 vCore,Consumption,true
Standard_E8-2s_v4,DZH318Z0CSHL/008T,E8-2s v4 Low Priority,Virtual Machines Esv4 Series,US Central,centralus,0.114,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,0.114,2020-08-01T00:00:00Z,0009109e-82c2-5cc4-a0e0-91354982115c,DZH318Z0CSHL,E8-2s v4 Low Priority,Consumption,true
CA,DZH318Z09MZQ/0037,CA Provisioning Fee,Short Codes - Provisioning - I,SE Central,swedencentral,3000,1,SMS,DZH317LD4JM1,Azure Communication Services,USD,0,3000,2023-07-01T00:00:00Z,d24c0a10-94d3-5ce5-b63c-5e4d9cd85580,DZH318Z09MZQ,CA,Consumption,false
Standard_M12ds_v3,DZH318Z0K7D1/0186,Standard_M12ds_v3 Low Priority,Virtual Machines Mdsv3 Medium Memory Series Windows,EU North,northeurope,1.048,1 Hour,Virtual Machines,DZH313Z7MMC8,Compute,USD,0,1.048,2023-11-01T00:00:00Z,00096ee0-9dd8-5664-aa3a-ba986675c5f9,DZH318Z0K7D1,Standard_M12ds_v3 Low Priority,Consumption,true
